line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.util.FastMath#double#atan2#?,double,double#2994	0.9976405819897759	0.9976405819897759	1.9952811639795518	(Math.PI)>= 0	_
org.apache.commons.math.complex.Complex#double#abs#?#133	0.9883132060771328	0.9883132060771328	1.9766264121542656	(FastMath.abs(real) * FastMath.sqrt(1 + q * q))>= 0	_
org.apache.commons.math.complex.Complex#double#getReal#?#364	0.9580815709969788	0.9898556379243074	1.947937208921286	(real)== 0	_
org.apache.commons.math.complex.Complex#double#getImaginary#?#355	0.9577198942997358	0.983714618069019	1.9414345123687549	(imaginary)== 0	_
org.apache.commons.math.util.FastMath#double#log#?,double#1256	0.8331691297208538	0.8459486495498499	1.6791177792707037	(log(x,null))> 0	_
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1484	0.8409015578389128	0.805141225007934	1.5746286378074486	(a + b)>= 0	_
org.apache.commons.math.util.FastMath#double#sqrt#?,double#302	0.674196120116928	0.6803432555644945	1.3545393756814224	(Math.sqrt(a))> 0	_
org.apache.commons.math.util.FastMath#double#abs#?,double#3410	0.598207969818439	0.6840118630358588	1.282219832854298	((x < 0.0) ? -x : (x == 0.0) ? 0.0 : x)<= 0	_
org.apache.commons.math.complex.Complex#String#toString#?#1179	1.0	0.0	1.0		_
org.apache.commons.math.complex.Complex#Complex#divide#?,Complex#257	0.9992122883024814	0.0	0.9992122883024814		GT
org.apache.commons.math.complex.Complex#Complex#atan#?#583	0.9984258166076347	0.0	0.9984258166076347		_
org.apache.commons.math.complex.Complex#Complex#log#?#747	0.9952922714790113	0.0	0.9952922714790113		_
org.apache.commons.math.complex.Complex#Complex#multiply#?,Complex#419	0.9914028917545916	0.0	0.9914028917545916		_
org.apache.commons.math.complex.Complex#Complex#add#?,Complex#162	0.9860085503303537	0.0	0.9860085503303537		_
org.apache.commons.math.complex.Complex#Complex#subtract#?,Complex#493	0.983714618069019	0.0	0.983714618069019		_
org.apache.commons.math.complex.Complex#boolean#equals#?,Object#327	0.9709146574818217	0.0	0.9709146574818217		_
org.apache.commons.math.complex.Complex#boolean#isInfinite#?#388	0.9672131147540984	0.0	0.9672131147540984		_
org.apache.commons.math.complex.Complex#Complex#createComplex#?,double,double#1127	0.9413729128014842	0.0	0.9413729128014842		_
org.apache.commons.math.complex.Complex#?#Complex#?,double,double#100	0.9392817475009256	0.0	0.9392817475009256		GT
org.apache.commons.math.util.MathUtils#void#checkNotNull#?,Object#2334	0.8378467635402906	0.0	0.8378467635402906		_
org.apache.commons.math.util.FastMath#void#splitReciprocal#?,double,double#1138	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#quadMult#?,double,double,double#1193	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#slowCos#?,double,double#1868	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double[]#slowLog#?,double#1754	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#expint#?,int,double#1240	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#splitMult#?,double,double,double#1086	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#split#?,double,double#1048	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#resplit#?,double#1063	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#slowSin#?,double,double#1809	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#double#slowexp#?,double,double#1014	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#buildSinCosTables#?#1938	0.0	0.0	0.0		_
org.apache.commons.math.util.FastMath#void#splitAdd#?,double,double,double#1098	0.0	0.0	0.0		_
