line	original_score	max_predicate_score	total	predicate	label
org.joda.time.base.BaseSingleFieldPeriod#int#between#?,ReadablePartial,ReadablePartial,ReadablePeriod#105	1.9974702757399443	1.9974702757399443	3.9949405514798886	(values[0])>= 0	GT
org.joda.time.base.BaseSingleFieldPeriod#int#size#?#202	1.9946875790538832	1.9946875790538832	3.9893751581077663	(1)> 0	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#getMaximumValue#?,ReadablePartial,int[]#89	1.9838097647356439	1.9838097647356439	3.9676195294712877	(iChronology.getDaysInMonthMax(month))!= 0	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInMonthMax#?,int#129	1.9838097647356439	1.9838097647356439	3.9676195294712877	(MAX_DAYS_PER_MONTH_ARRAY[month - 1])> 0	_
org.joda.time.chrono.BaseChronology#long#set#?,ReadablePartial,long#242	1.9815330129015938	1.9820389577536048	3.963571970655199	(instant)> 0	_
org.joda.time.MonthDay#int#size#?#395	1.9729319504174045	1.9729319504174045	3.945863900834809	(2)>= 0	_
org.joda.time.chrono.BasicChronology#int#getDaysInMonthMax#?,long#577	1.9698962813053378	1.9698962813053378	3.9397925626106756	(getDaysInYearMonth(thisYear,thisMonth))>= 0	_
org.joda.time.chrono.BasicChronology#int#getDaysInMonthMax#?#565	1.951176321780926	1.951176321780926	3.902352643561852	(31)> 0	_
org.joda.time.base.BaseSingleFieldPeriod#int#getValue#?#167	1.949405514798887	1.9504174045029092	3.899822919301796	(iPeriod)>= 0	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#getMaximumValue#?#59	1.9420693144447254	1.9420693144447254	3.884138628889451	(iChronology.getDaysInMonthMax())> 0	_
org.joda.time.field.FieldUtils#int#safeToInt#?,long#188	1.9271439413103972	1.9291677207184417	3.8563116620288387	((int)value)>= 0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#int#getMinimumValue#?#339	1.9263850240323805	1.9263850240323805	3.852770048064761	(MIN)!= 0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#int#getMaximumValue#?#344	1.9258790791803693	1.9258790791803693	3.8517581583607385	(iMax)> 0	_
org.joda.time.field.BaseDateTimeField#int#getMinimumValue#?,ReadablePartial,int[]#772	1.8621300278269668	1.9230963824943081	3.785226410321275	(getMinimumValue(instant))> 0	_
org.joda.time.field.BaseDateTimeField#int#getMinimumValue#?,ReadablePartial#758	1.8611181381229447	1.9228434100683025	3.783961548191247	(getMinimumValue())> 0	_
org.joda.time.base.BasePartial#int#getValue#?,int#225	1.891727801669618	1.8919807740956236	3.7837085757652416	(iValues[index])> 0	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,ReadablePartial,int[]#818	1.8633948899569948	1.8633948899569948	3.7267897799139895	(getMaximumValue(instant))>= 0	_
org.joda.time.field.BaseDateTimeField#int#getMaximumValue#?,ReadablePartial#804	1.8621300278269668	1.8621300278269668	3.7242600556539336	(getMaximumValue())!= 0	_
org.joda.time.chrono.BasicChronology#int#getMillisOfDay#?,long#552	1.7513281052365293	1.8937515810776626	3.645079686314192	((int)(instant % DateTimeConstants.MILLIS_PER_DAY))<= 0	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#309	1.7692891474829244	1.7945863900834809	3.563875537566405	(iChronology.getYearMonthDayMillis(thisYear,month,thisDom) + iChronology.getMillisOfDay(instant))> 0	_
org.joda.time.field.PreciseDurationDateTimeField#long#set#?,long,int#80	1.7644826713888186	1.7918036933974197	3.5562863647862386	(instant + (value - get(instant)) * iUnitMillis)> 0	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInMonthMaxForSet#?,long,int#134	1.775866430559069	1.775866430559069	3.551732861118138	(((value > 28 || value < 1) ? getDaysInMonthMax(instant) : 28))> 0	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#getMaximumValueForSet#?,long,int#96	1.7746015684290413	1.7746015684290413	3.5492031368580825	(iChronology.getDaysInMonthMaxForSet(instant,value))!= 0	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int#459	1.7692891474829244	1.7692891474829244	3.538578294965849	(getDayOfMonth(millis,year,month))> 0	_
org.joda.time.chrono.BasicChronology#long#getYearMillis#?,int#360	1.6010624841892234	1.8727548697192007	3.473817353908424	(getYearInfo(year).iFirstDayMillis)== 0	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#getMinimumValue#?#55	1.7300784214520617	1.7300784214520617	3.4601568429041234	(1)> 0	_
org.joda.time.chrono.BasicGJChronology#long#getTotalMillisByYearMonth#?,int,int#142	1.6650645079686315	1.7715658993169745	3.436630407285606	(MIN_TOTAL_MILLIS_BY_MONTH_ARRAY[month - 1])== 0	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInYearMonth#?,int,int#123	1.6923855299772326	1.6923855299772326	3.384771059954465	(MIN_DAYS_PER_MONTH_ARRAY[month - 1])!= 0	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long#450	1.6703769289147483	1.6703769289147483	3.3407538578294966	(getDayOfMonth(millis,year,month))> 0	_
org.joda.time.chrono.BasicChronology#long#getYearMonthDayMillis#?,int,int,int#387	1.6488742727042753	1.6880849987351378	3.3369592714394134	(millis + (dayOfMonth - 1) * (long)DateTimeConstants.MILLIS_PER_DAY)> 0	_
org.joda.time.chrono.BasicDayOfMonthDateTimeField#int#get#?,long#47	1.6607639767265368	1.6607639767265368	3.3215279534530735	(iChronology.getDayOfMonth(instant))>= 0	_
org.joda.time.chrono.BasicChronology#int#getDayOfMonth#?,long,int,int#470	1.6569693903364533	1.6569693903364533	3.3139387806729066	((int)((millis - dateMillis) / DateTimeConstants.MILLIS_PER_DAY) + 1)!= 0	_
org.joda.time.chrono.BasicGJChronology#int#getMonthOfYear#?,long,int#93	1.651909941816342	1.651909941816342	3.303819883632684	((isLeapYear(year)) ? ((i < 182 * 84375) ? ((i < 91 * 84375) ? ((i < 31 * 84375) ? 1 : (i < 60 * 84375) ? 2 : 3) : ((i < 121 * 84375) ? 4 : (i < 152 * 84375) ? 5 : 6)) : ((i < 274 * 84375) ? ((i < 213 * 84375) ? 7 : (i < 244 * 84375) ? 8 : 9) : ((i < 305 * 84375) ? 10 : (i < 335 * 84375) ? 11 : 12))) : ((i < 181 * 84375) ? ((i < 90 * 84375) ? ((i < 31 * 84375) ? 1 : (i < 59 * 84375) ? 2 : 3) : ((i < 120 * 84375) ? 4 : (i < 151 * 84375) ? 5 : 6)) : ((i < 273 * 84375) ? ((i < 212 * 84375) ? 7 : (i < 243 * 84375) ? 8 : 9) : ((i < 304 * 84375) ? 10 : (i < 334 * 84375) ? 11 : 12))))>= 0	_
org.joda.time.chrono.GregorianChronology#long#getApproxMillisAtEpochDividedByTwo#?#241	1.6415380723501138	1.6415380723501138	3.2830761447002277	((1970L * MILLIS_PER_YEAR) / 2)>= 0	_
org.joda.time.chrono.GregorianChronology#long#getAverageMillisPerYearDividedByTwo#?#233	1.6415380723501138	1.6415380723501138	3.2830761447002277	(MILLIS_PER_YEAR / 2)>= 0	_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#428	1.6299013407538578	1.6296483683278522	3.2592967366557044	(year)>= 0	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#localDateParser#?#596	1.998229193017961	0.0	1.998229193017961		_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#add#?,long,int#93	0.9974702757399444	0.9974702757399444	1.9949405514798888	(instant)>= 0	_
org.joda.time.base.BaseSingleFieldPeriod#DurationFieldType#getFieldType#?,int#219	1.9949405514798888	0.0	1.9949405514798888		_
org.joda.time.Months#int#getMonths#?#249	0.9962054136099165	0.9987351378699721	1.9949405514798886	(getValue())== 0	_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dateElementParser#?#614	1.9936756893498608	0.0	1.9936756893498608		_
org.joda.time.format.DateTimeFormat#void#parsePatternTo#?,DateTimeFormatterBuilder,String#555	1.9936756893498608	0.0	1.9936756893498608		_
org.joda.time.DateTimeUtils#boolean#isContiguous#?,ReadablePartial#377	1.9936756893498608	0.0	1.9936756893498608		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#weekElement#?#1624	1.9934227169238552	0.0	1.9934227169238552		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dayOfWeekElement#?#1634	1.9934227169238552	0.0	1.9934227169238552		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dayOfYearElement#?#1644	1.9934227169238552	0.0	1.9934227169238552		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#weekyearElement#?#1615	1.9931697444978498	0.0	1.9931697444978498		_
org.joda.time.format.DateTimeFormatterBuilder#boolean#isPrinter#?,Object#1171	1.9931697444978498	0.0	1.9931697444978498		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendDayOfYear#?,int#785	1.9926637996458385	0.0	1.9926637996458385		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendWeekyear#?,int,int#807	1.9921578547938275	0.0	1.9921578547938275		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#append#?,DateTimePrinter,DateTimeParser[]#328	1.9921578547938275	0.0	1.9921578547938275		_
org.joda.time.format.DateTimeFormatterBuilder#Object#getFormatter#?#1150	1.9921578547938275	0.0	1.9921578547938275		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#estimateParsedLength#?#2730	1.9916519099418164	0.0	1.9916519099418164		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendWeekOfWeekyear#?,int#795	1.9916519099418164	0.0	1.9916519099418164		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendDayOfWeek#?,int#765	1.9916519099418164	0.0	1.9916519099418164		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeParser#toParser#?#155	1.9908929926637997	0.0	1.9908929926637997		_
org.joda.time.Days#int#getDays#?#343	0.9951935239058942	0.9956994687579054	1.9908929926637997	(getValue())!= 0	_
org.joda.time.format.DateTimeFormatterBuilder$MatchingParser#?#MatchingParser#?,DateTimeParser[]#2797	1.990640020237794	0.0	1.990640020237794		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendOptional#?,DateTimeParser#346	1.990640020237794	0.0	1.990640020237794		_
org.joda.time.format.DateTimeFormatterBuilder$MatchingParser#int#estimateParsedLength#?#2810	1.990134075385783	0.0	1.990134075385783		_
org.joda.time.format.DateTimeFormatterBuilder#void#checkParser#?,DateTimeParser#357	1.9896281305337717	0.0	1.9896281305337717		_
org.joda.time.MonthDay#?#MonthDay#?,int,int#334	1.9893751581077663	0.0	1.9893751581077663		_
org.joda.time.format.DateTimeFormatter#DateTimeFormatter#withZoneUTC#?#301	1.9881102959777384	0.0	1.9881102959777384		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#?#Composite#?,List<Object>#2623	1.987857323551733	0.0	1.987857323551733		_
org.joda.time.format.DateTimeFormatterBuilder$StringLiteral#?#StringLiteral#?,String#1270	1.9876043511257273	0.0	1.9876043511257273		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendLiteral#?,String#417	1.9876043511257273	0.0	1.9876043511257273		_
org.joda.time.format.DateTimeFormatterBuilder$StringLiteral#int#estimatePrintedLength#?#1275	1.986592461421705	0.0	1.986592461421705		_
org.joda.time.format.DateTimeFormatterBuilder$StringLiteral#int#estimateParsedLength#?#1299	1.986592461421705	0.0	1.986592461421705		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#dayOfMonthElement#?#1605	1.986592461421705	0.0	1.986592461421705		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#monthElement#?#1595	1.9863394889956996	0.0	1.9863394889956996		_
org.joda.time.format.ISODateTimeFormat#DateTimeFormatter#yearElement#?#1586	1.986086516569694	0.0	1.986086516569694		_
org.joda.time.format.DateTimeFormatter#DateTimeFormatter#withZone#?,DateTimeZone#321	1.9825449026056159	0.0	1.9825449026056159		_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeField,int,int,int#218	1.9815330129015938	0.0	1.9815330129015938		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendDecimal#?,DateTimeFieldType,int,int#444	1.980774095623577	0.0	1.980774095623577		_
org.joda.time.MonthDay#?#MonthDay#?,int,int,Chronology#352	1.9802681507715658	0.0	1.9802681507715658		_
org.joda.time.format.DateTimeFormatterBuilder$UnpaddedNumber#?#UnpaddedNumber#?,DateTimeFieldType,int,boolean#1401	1.9800151783455604	0.0	1.9800151783455604		_
org.joda.time.format.DateTimeFormatterBuilder$UnpaddedNumber#int#estimatePrintedLength#?#1405	1.9795092334935491	0.0	1.9795092334935491		_
org.joda.time.MonthDay#DateTimeField#getField#?,int,Chronology#410	1.9795092334935491	0.0	1.9795092334935491		_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#getDifferenceAsLong#?,long,long#280	0.9979762205919555	0.9972173033139388	1.977232481659499	(difference)== 0	_
org.joda.time.chrono.BaseChronology#int[]#get#?,ReadablePeriod,long,long#262	1.9764735643814824	0.0	1.9764735643814824		_
org.joda.time.IllegalFieldValueException#String#createMessage#?,String,Number,Number,Number,String#53	1.9764735643814824	0.0	1.9764735643814824		_
org.joda.time.format.DateTimeFormat#String#parseToken#?,String,int[]#613	1.976220591955477	0.0	1.976220591955477		_
org.joda.time.MonthDay#DateTimeFieldType#getFieldType#?,int#426	1.9741968125474323	0.0	1.9741968125474323		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#decompose#?,List<Object>,List<Object>,List<Object>#2763	1.97318492284341	0.0	1.97318492284341		_
org.joda.time.format.DateTimeFormatterBuilder$Composite#void#addArrayToList#?,List<Object>,Object[]#2780	1.9719200607133822	0.0	1.9719200607133822		_
org.joda.time.IllegalFieldValueException#?#IllegalFieldValueException#?,DateTimeFieldType,Number,Number,Number#111	1.9714141158613712	0.0	1.9714141158613712		_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendYear#?,int,int#829	1.9711611434353655	0.0	1.9711611434353655		_
org.joda.time.field.ImpreciseDateTimeField#int#getDifference#?,long,long#91	0.9762205919554768	0.9931697444978498	1.9693903364533267	(FieldUtils.safeToInt(getDifferenceAsLong(minuendInstant,subtrahendInstant)))== 0	_
org.joda.time.format.DateTimeFormatterBuilder#DateTimeFormatterBuilder#appendSignedDecimal#?,DateTimeFieldType,int,int#498	1.9686314191753098	0.0	1.9686314191753098		_
