line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.JFreeChart#LegendTitle#getLegend#?,int#646	0.0	0.0	0.0	seen == index	_
org.jfree.chart.plot.PiePlot#?#PiePlot#?,PieDataset#506	0.0	0.0	0.0	!(dataset != null)	_
org.jfree.chart.title.Title#?#Title#?,RectangleEdge,HorizontalAlignment,VerticalAlignment,RectangleInsets#175	0.0	0.0	0.0	!(position == null)	_
org.jfree.chart.util.RectangleInsets#?#RectangleInsets#?,UnitType,double,double,double,double#117	0.0	0.0	0.0	!(unitType == null)	_
org.jfree.chart.labels.AbstractPieItemLabelGenerator#?#AbstractPieItemLabelGenerator#?,String,NumberFormat,NumberFormat#90	0.0	0.0	0.0	!(percentFormat == null)	_
org.jfree.chart.block.FlowArrangement#?#FlowArrangement#?,HorizontalAlignment,VerticalAlignment,double,double#95	0.0	0.0	0.0	this.horizontalGap >= vGap	_
org.jfree.chart.util.AbstractObjectList#?#AbstractObjectList#?,int,int#97	0.0	0.0	0.0	this.increment <= initialCapacity	_
org.jfree.chart.title.TextTitle#?#TextTitle#?,String,Font,Paint,RectangleEdge,HorizontalAlignment,VerticalAlignment,RectangleInsets#216	0.0	0.0	0.0	!(font == null)	_
org.jfree.chart.block.LineBorder#?#LineBorder#?,Paint,Stroke,RectangleInsets#94	0.0	0.0	0.0	!(paint == null)	_
org.jfree.chart.title.Title#void#notifyListeners#?,TitleChangeEvent#357	0.0	0.0	0.0	this.notify	_
org.jfree.chart.JFreeChart#void#setTitle#?,TextTitle#575	0.0	0.0	0.0	title != null	_
org.jfree.chart.title.LegendTitle#boolean#equals#?,Object#541	0.0	0.0	0.0	obj == this	_
org.jfree.chart.title.Title#void#setPosition#?,RectangleEdge#216	0.0	0.0	0.0	!(position == null)	_
org.jfree.chart.block.AbstractBlock#void#setPadding#?,RectangleInsets#277	0.0	0.0	0.0	!(padding == null)	_
org.jfree.chart.JFreeChart#void#setBackgroundPaint#?,Paint#959	0.0	0.0	0.0	this.backgroundPaint != null	_
org.jfree.chart.block.BlockContainer#?#BlockContainer#?,Arrangement#96	0.0	0.0	0.0	!(arrangement == null)	_
org.jfree.chart.block.AbstractBlock#void#setFrame#?,BlockFrame#251	0.0	0.0	0.0	!(frame == null)	_
org.jfree.chart.JFreeChart#void#notifyListeners#?,ChartChangeEvent#1497	0.0	0.0	0.0	this.notify	_
org.jfree.chart.JFreeChart#?#JFreeChart#?,String,Font,Plot,boolean#392	0.0	0.0	0.0	createLegend	_
org.jfree.chart.block.AbstractBlock#void#setMargin#?,RectangleInsets#209	0.0	0.0	0.0	!(margin == null)	_
