line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.ProcessDefines$CollectDefines#boolean#processDefineAssignment#?,NodeTraversal,String,Node,Node#405	0.0	0.335572581162717	0.335572581162717	value == null || !NodeUtil.isValidDefineValue(value,allDefines.keySet())	_
com.google.javascript.jscomp.ProcessDefines$CollectDefines#?#CollectDefines#?,AbstractCompiler,List<Name>#246	0.0	0.08026231060579625	0.08026231060579625	!(name.refs != null)	_
com.google.javascript.jscomp.ProcessDefines$CollectDefines#void#visit#?,NodeTraversal,Node,Node#277	0.0	0.07631532654136552	0.07631532654136552	refInfo != null	_
com.google.javascript.jscomp.ProcessDefines#Map<String,DefineInfo>#collectDefines#?,Node,GlobalNamespace#176	0.0	0.07417909492745615	0.07417909492745615	name.docInfo != null && name.docInfo.isDefine()	_
com.google.javascript.jscomp.ProcessDefines#void#process#?,Node,Node#116	0.0	0.05724503691145484	0.05724503691145484	!(namespace == null)	_
com.google.javascript.jscomp.GlobalNamespace#Map<String,Name>#getNameIndex#?#98	0.0	0.021343491389822073	0.021343491389822073	!generated	_
com.google.javascript.jscomp.BasicErrorManager#int#getErrorCount#?#73	0.0	0.014834659672549684	0.014834659672549684	(errorCount)> 0	_
com.google.javascript.jscomp.BasicErrorManager#void#report#?,CheckLevel,JSError#46	0.0	0.011103005088361225	0.011103005088361225	level == CheckLevel.ERROR	_
com.google.javascript.jscomp.PrepareAst$PrepareAnnotations#void#annotateConstants#?,Node,Node#250	0.0	0.007568021408169801	0.007568021408169801	NodeUtil.isConstantByConvention(convention,n,parent)	_
com.google.javascript.rhino.JSDocInfoBuilder#boolean#recordDefineType#?,JSTypeExpression#431	0.0	0.006377856846357541	0.006377856846357541	type != null && !currentInfo.isConstant() && !currentInfo.isDefine() && recordType(type)	_
com.google.javascript.rhino.jstype.JSType#boolean#isSubtype#?,JSType,JSType#834	0.0	0.005849540676857132	0.005849540676857132	thatType instanceof UnionType	_
com.google.javascript.jscomp.ProcessDefines#void#overrideDefines#?,Map<String,DefineInfo>#140	0.0	0.0057507717825148255	0.0057507717825148255	!(changed)	_
com.google.javascript.rhino.Node#void#setLineno#?,int#1130	0.0	7.670671991722741E-4	7.670671991722741E-4	!(charno == -1)	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processVariableInitializer#?,VariableInitializer#805	0.0	6.945979392169278E-4	6.945979392169278E-4	!(initializerNode.getInitializer() != null)	_
com.google.javascript.jscomp.GoogleCodingConvention#boolean#isConstantKey#?,String#81	0.0	6.098547576121142E-4	6.098547576121142E-4	!(name.isEmpty() || !Character.isUpperCase(name.charAt(0)))	_
com.google.javascript.jscomp.GlobalNamespace$BuildGlobalNamespace#void#visit#?,NodeTraversal,Node,Node#251	0.0	6.008649518577991E-4	6.008649518577991E-4	!(parent != null && parent.getType() == Token.OBJECTLIT)	_
com.google.javascript.jscomp.Compiler#void#initOptions#?,CompilerOptions#217	0.0	5.58195185891195E-4	5.58195185891195E-4	errorManager == null	_
com.google.javascript.rhino.jstype.PrototypeObjectType#?#PrototypeObjectType#?,JSTypeRegistry,String,ObjectType,boolean#109	0.0	5.173616773943474E-4	5.173616773943474E-4	nativeType	_
com.google.javascript.jscomp.Compiler#JSTypeRegistry#getTypeRegistry#?#972	0.0	5.091841332929368E-4	5.091841332929368E-4	typeRegistry == null	_
com.google.javascript.rhino.jstype.FunctionType#boolean#setPrototype#?,FunctionPrototypeType#299	0.0	4.885819977623796E-4	4.885819977623796E-4	!(superClass != null)	_
com.google.javascript.jscomp.parsing.IRFactory#Node#transformTree#?,AstRoot,String,Config,ErrorReporter#131	0.0	4.79352561149132E-4	4.79352561149132E-4	!(node.getComments() != null)	_
com.google.javascript.rhino.jstype.FunctionParamBuilder#boolean#addVarArgs#?,JSType#104	0.0	4.6824807201920033E-4	4.6824807201920033E-4	!(!type.isEmptyType())	_
com.google.javascript.rhino.jstype.FunctionType#void#addSubType#?,FunctionType#771	0.0	4.44755797221968E-4	4.44755797221968E-4	subTypes == null	_
com.google.javascript.jscomp.parsing.IRFactory#Node#transform#?,AstNode#207	0.0	4.3700048112247877E-4	4.3700048112247877E-4	jsDocInfo != null	_
com.google.javascript.jscomp.parsing.IRFactory#JSDocInfo#handleJsDoc#?,AstNode#194	0.0	4.282229826074363E-4	4.282229826074363E-4	comment != null	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#CheckLevel#level#?,JSError#52	0.0	4.0581870155522235E-4	4.0581870155522235E-4	node != null	_
com.google.javascript.jscomp.JSError#?#JSError#?,String,Node,int,int,DiagnosticType,CheckLevel,String#145	0.0	3.709731684243055E-4	3.709731684243055E-4	this.lineNumber < charno	_
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#168	0.0	3.502770037414597E-4	3.502770037414597E-4	(getReferenceName().hashCode())<= 0	_
com.google.javascript.rhino.Node#?#Node#?,int,int,int#455	0.0	2.833590105374113E-4	2.833590105374113E-4	sourcePosition > charno	_
com.google.javascript.jscomp.Compiler#void#report#?,JSError#1614	0.0	2.4305255907988488E-4	2.4305255907988488E-4	!(newLevel != null)	_
com.google.javascript.jscomp.JsAst#Node#getAstRoot#?,AbstractCompiler#49	0.0	1.9880202079716552E-4	1.9880202079716552E-4	!(root == null)	_
com.google.javascript.jscomp.GoogleCodingConvention#boolean#isConstant#?,String#62	0.0	1.5364797625597762E-4	1.5364797625597762E-4	!(name.length() <= 1)	_
com.google.javascript.rhino.jstype.JSTypeRegistry#JSType#createFromTypeNodesInternal#?,Node,String,StaticScope<JSType>,boolean#1388	0.0	1.4535674278681886E-4	1.4535674278681886E-4	!((namedType instanceof ObjectType) && !(enumTypeNames.contains(n.getString())))	_
com.google.javascript.jscomp.GlobalNamespace#void#process#?#149	0.0	1.1052012543727147E-4	1.1052012543727147E-4	!(externsRoot != null)	_
com.google.javascript.jscomp.JSError#int#getCharno#?#200	0.0	1.10297334468641E-4	1.10297334468641E-4	(charno)> 0	_
com.google.javascript.jscomp.BasicErrorManager#JSError[]#toArray#?,CheckLevel#99	0.0	1.0935292580716709E-4	1.0935292580716709E-4	!(p.level == level)	_
com.google.javascript.rhino.jstype.FunctionType#?#FunctionType#?,JSTypeRegistry,String,Node,ArrowType,ObjectType,String,boolean,boolean#133	0.0	1.0026079034428563E-4	1.0026079034428563E-4	!(isConstructor)	_
com.google.javascript.rhino.jstype.JSTypeRegistry#void#registerPropertyOnType#?,String,JSType#607	0.0	9.387810889652565E-5	9.387810889652565E-5	!(typeSet == null)	_
com.google.javascript.rhino.Node#PropListItem#lookupProperty#?,int#742	0.0	9.193646154703919E-5	9.193646154703919E-5	x != null && propType != x.type	_
com.google.javascript.rhino.jstype.UnionType#boolean#isUnknownType#?#259	0.0	9.044296037859171E-5	9.044296037859171E-5	!(t.isUnknownType())	_
com.google.javascript.rhino.Node#int#getCharno#?#863	0.0	8.943475561729989E-5	8.943475561729989E-5	(extractCharno(sourcePosition))> 0	_
com.google.javascript.rhino.Node#int#getIntProp#?,int#809	0.0	8.827142064068787E-5	8.827142064068787E-5	item == null	_
com.google.javascript.jscomp.GlobalNamespace$Name#JSDocInfo#getDocInfoForDeclaration#?,Ref#962	0.0	8.270756458278002E-5	8.270756458278002E-5	ref.node != null	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1173	0.0	8.167946256241757E-5	8.167946256241757E-5	!(lineCharNo == -1)	_
com.google.javascript.rhino.Node#void#removeProp#?,int#764	0.0	6.910815481782164E-5	6.910815481782164E-5	result != propListHead	_
com.google.javascript.rhino.JSDocInfo#JSTypeExpression#getType#?,int#967	0.0	6.651532964882763E-5	6.651532964882763E-5	(MASK_TYPEFIELD & bitset) == typefield	_
com.google.javascript.jscomp.LineNumberCheck#void#visit#?,NodeTraversal,Node,Node#69	0.0	5.93680026055441E-5	5.93680026055441E-5	requiresLineNumbers	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordTypeNode#?,JsDocToken,int,int,boolean,boolean#1067	0.0	5.88341135477262E-5	5.88341135477262E-5	!(onlyParseSimpleNames)	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#boolean#parse#?#150	0.0	5.695719402409604E-5	5.695719402409604E-5	!(jsdocBuilder.shouldParseDocumentation())	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markTypeNode#?,Node,int,int,int,boolean#167	0.0	5.694250357288907E-5	5.694250357288907E-5	!(currentMarker != null)	_
