line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang3.time.FastDateFormat#List<Rule>#parsePattern#?#616	0.0	0.0	0.0	!(tokenLen >= 4)	_
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField#int#estimateLength#?#1340	0.0	0.0	0.0	(2)> 0	_
org.apache.commons.lang3.time.FastDateFormat$PaddedNumberField#int#estimateLength#?#1285	0.0	0.0	0.0	(4)> 0	_
org.apache.commons.lang3.time.FastDateFormat#StringBuffer#applyRules#?,Calendar,StringBuffer#889	0.0	0.0	0.0	!(i < len)	_
org.apache.commons.lang3.time.FastDateFormat#FastDateFormat#getInstance#?,String,TimeZone,Locale#215	0.0	0.0	0.0	format == null	_
org.apache.commons.lang3.time.FastDateFormat$PaddedNumberField#void#appendTo#?,StringBuffer,int#1311	0.0	0.0	0.0	digits != value	_
org.apache.commons.lang3.Validate#void#isTrue#?,boolean,String,long#121	0.0	0.0	0.0	!(expression == false)	_
org.apache.commons.lang3.time.FastDateFormat#?#FastDateFormat#?,String,TimeZone,Locale#548	0.0	0.0	0.0	locale == null	_
org.apache.commons.lang3.time.FastDateFormat$TwoDigitMonthField#int#estimateLength#?#1416	0.0	0.0	0.0	(2)!= 0	_
org.apache.commons.lang3.time.FastDateFormat#void#init#?#563	0.0	0.0	0.0	len > i	_
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField#void#appendTo#?,StringBuffer,int#1354	0.0	0.0	0.0	value < 100	_
org.apache.commons.lang3.time.FastDateFormat#int#hashCode#?#1008	0.0	0.0	0.0	(total)> 0	_
org.apache.commons.lang3.time.FastDateFormat$CharacterLiteral#?#CharacterLiteral#?,char#1084	0.0	0.0	0.0	mValue >= value	_
org.apache.commons.lang3.time.FastDateFormat$CharacterLiteral#int#estimateLength#?#1091	0.0	0.0	0.0	(1)!= 0	_
org.apache.commons.lang3.time.FastDateFormat#StringBuffer#format#?,Calendar,StringBuffer#871	0.0	0.0	0.0	mTimeZoneForced	GT
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField#?#TwoDigitNumberField#?,int#1333	0.0	0.0	0.0	mField == field	_
org.apache.commons.lang3.time.FastDateFormat#String#parseToken#?,String,int[]#721	0.0	0.0	0.0	peek == c	_
org.apache.commons.lang3.time.FastDateFormat$PaddedNumberField#?#PaddedNumberField#?,int,int#1273	0.0	0.0	0.0	!(size < 3)	_
