line	original_score	max_predicate_score	total	predicate	label
org.joda.time.chrono.AssembledChronology#void#setFields#?#385	0.0	0.0	0.0	iBaseFlags == flags	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#long#getUnitMillis#?#298	0.0	0.0	0.0	(iField.getUnitMillis())> 0	_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#int#estimatePrintedLength#?#1174	0.0	0.0	0.0	(1)> 0	_
org.joda.time.tz.ZoneInfoProvider#DateTimeZone#getZone#?,String#145	0.0	0.0	0.0	id.equals(obj)	_
org.joda.time.chrono.BasicGJChronology#int#getDaysInYearMonth#?,int,int#123	0.0	0.0	0.0	(MIN_DAYS_PER_MONTH_ARRAY[month - 1])>= 0	_
org.joda.time.field.ScaledDurationField#long#getUnitMillis#?#109	0.0	0.0	0.0	(getWrappedField().getUnitMillis() * iScalar)!= 0	_
org.joda.time.chrono.ZonedChronology$ZonedDurationField#?#ZonedDurationField#?,DurationField,DateTimeZone#285	0.0	0.0	0.0	!(!field.isSupported())	_
org.joda.time.DateTimeUtils#Chronology#getChronology#?,Chronology#252	0.0	0.0	0.0	chrono == null	_
org.joda.time.format.DateTimeFormat#boolean#isNumericToken#?,String#633	0.0	0.0	0.0	tokenLen > 0	_
org.joda.time.format.DateTimeFormatter#DateTimePrinter#requirePrinter#?#657	0.0	0.0	0.0	!(printer == null)	_
org.joda.time.chrono.GregorianChronology#long#getApproxMillisAtEpochDividedByTwo#?#241	0.0	0.0	0.0	((1970L * MILLIS_PER_YEAR) / 2)> 0	_
org.joda.time.chrono.ZonedChronology#long#getDateTimeMillis#?,int,int,int,int,int,int,int#119	0.0	0.0	0.0	(localToUTC(getBase().getDateTimeMillis(year,monthOfYear,dayOfMonth,hourOfDay,minuteOfHour,secondOfMinute,millisOfSecond)))>= 0	_
org.joda.time.DateTimeUtils#Chronology#getInstantChronology#?,ReadableInstant#164	0.0	0.0	0.0	!(instant == null)	_
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber#?#PaddedNumber#?,DateTimeFieldType,int,boolean,int#1426	0.0	0.0	0.0	iMinPrintedDigits < maxParsedDigits	_
org.joda.time.tz.CachedDateTimeZone$Info#?#Info#?,DateTimeZone,long#189	0.0	0.0	0.0	iPeriodStart <= periodStart	_
org.joda.time.tz.CachedDateTimeZone$Info#int#getOffset#?,long#205	0.0	0.0	0.0	iOffset == Integer.MIN_VALUE	_
