line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.XYPlot#Range#getDataRange#?,ValueAxis#4475	0.0	0.7658500695476904	0.7658500695476904	!(r != null)	GT
org.jfree.chart.plot.XYPlot#XYItemRenderer#getRendererForDataset#?,XYDataset#1748	0.0	0.39493558633815423	0.39493558633815423	result == null	_
org.jfree.chart.plot.XYPlot#void#setRenderer#?,int,XYItemRenderer,boolean#1640	0.0	0.29554653081176424	0.29554653081176424	!(renderer != null)	_
org.jfree.data.general.DatasetUtilities#Range#iterateDomainBounds#?,XYDataset,boolean#776	0.0	0.2915693473152987	0.2915693473152987	minimum > maximum	_
org.jfree.data.xy.XYSeriesCollection#Range#getDomainBounds#?,boolean#577	0.0	0.17204088498827808	0.17204088498827808	includeInterval	_
org.jfree.chart.axis.DateAxis#void#autoAdjustRange#?#1279	0.0	0.16534671411316354	0.16534671411316354	!(plot == null)	_
org.jfree.chart.plot.XYPlot#?#XYPlot#?,XYDataset,ValueAxis,ValueAxis,XYItemRenderer#652	0.0	0.1501980249784855	0.1501980249784855	!(renderer != null)	_
org.jfree.data.xy.XYSeries#void#updateBoundsForAddedItem#?,XYDataItem#254	0.0	0.1472630032466017	0.1472630032466017	this.maxY <= x	_
org.jfree.data.general.DatasetUtilities#Range#findDomainBounds#?,XYDataset,boolean#669	0.0	0.1448152119372192	0.1448152119372192	dataset instanceof DomainInfo	_
org.jfree.data.time.SpreadsheetDate#?#SpreadsheetDate#?,int#198	0.0	0.08648237914265669	0.08648237914265669	this.day > mm	_
org.jfree.chart.util.AbstractObjectList#int#indexOf#?,Object#161	0.0	0.08142195204843605	0.08142195204843605	!(index < this.size)	_
org.jfree.chart.util.ObjectList#int#indexOf#?,Object#107	0.0	0.08142195204843605	0.08142195204843605	(super.indexOf(object))!= 0	_
org.jfree.chart.plot.XYPlot#boolean#equals#?,Object#5310	0.0	0.07449255529556702	0.07449255529556702	obj == this	_
org.jfree.data.xy.IntervalXYDelegate#double#getIntervalWidth#?#240	0.0	0.07428001227089173	0.07428001227089173	!(isAutoWidth() && !Double.isInfinite(this.autoIntervalWidth))	_
org.jfree.data.xy.DefaultXYDataset#int#getSeriesCount#?#92	0.0	0.06340598241927584	0.06340598241927584	(this.seriesList.size())== 0	_
org.jfree.data.general.DatasetUtilities#Range#iterateToFindDomainBounds#?,XYDataset,List,boolean#1343	0.0	0.05921764490076953	0.05921764490076953	minimum == Double.POSITIVE_INFINITY	_
org.jfree.data.general.AbstractDataset#void#notifyListeners#?,DatasetChangeEvent#183	0.0	0.05323667542528565	0.05323667542528565	i >= 0	_
org.jfree.data.time.TimeSeriesCollection#?#TimeSeriesCollection#?,TimeSeries,TimeZone#185	0.0	0.05068496726788558	0.05068496726788558	!(series != null)	_
org.jfree.data.general.DatasetUtilities#Range#iterateToFindRangeBounds#?,XYDataset,List,Range,boolean#1474	0.0	0.04505990512731559	0.04505990512731559	minimum == Double.POSITIVE_INFINITY	_
org.jfree.data.time.Day#RegularTimePeriod#next#?#289	0.0	0.04383456125250567	0.04383456125250567	serial < SerialDate.SERIAL_UPPER_BOUND	_
org.jfree.chart.plot.XYPlot#void#configureDomainAxes#?#971	0.0	0.04242626245277485	0.04242626245277485	axis != null	_
org.jfree.chart.StandardChartTheme#void#apply#?,JFreeChart#1144	0.0	0.040403143955974934	0.040403143955974934	i < subtitleCount	_
org.jfree.chart.JFreeChart#int#getSubtitleCount#?#725	0.0	0.03951532261930139	0.03951532261930139	(this.subtitles.size())> 0	_
org.jfree.chart.axis.NumberAxis#void#autoAdjustRange#?#450	0.0	0.0358901727795872	0.0358901727795872	!(getAutoRangeIncludesZero())	_
org.jfree.data.xy.XYSeries#double#getMinX#?#192	0.0	0.03563465267574809	0.03563465267574809	(this.minX)>= 0	_
org.jfree.data.xy.XYSeries#double#getMaxX#?#207	0.0	0.03563465267574809	0.03563465267574809	(this.maxX)> 0	_
org.jfree.data.Range#double#getLowerBound#?#102	0.0	0.03005284553161814	0.03005284553161814	(this.lower)> 0	_
org.jfree.chart.StandardChartTheme#void#applyToPlot#?,Plot#1257	0.0	0.02615766240554281	0.02615766240554281	!(plot instanceof CategoryPlot)	_
org.jfree.chart.util.AbstractObjectList#int#size#?#149	0.0	0.024891086364995575	0.024891086364995575	(this.size)!= 0	_
org.jfree.chart.title.Title#void#notifyListeners#?,TitleChangeEvent#396	0.0	0.024277292454947606	0.024277292454947606	i >= 0	_
org.jfree.chart.renderer.AbstractRenderer#void#notifyListeners#?,RendererChangeEvent#2905	0.0	0.0232513328063668	0.0232513328063668	i >= 0	_
org.jfree.data.time.SpreadsheetDate#int#calcSerial#?,int,int,int#451	0.0	0.02200222253470188	0.02200222253470188	!(m > MonthConstants.FEBRUARY)	_
org.jfree.chart.JFreeChart#?#JFreeChart#?,String,Font,Plot,boolean#416	0.0	0.021395843821975544	0.021395843821975544	title != null	_
org.jfree.chart.ChartFactory#JFreeChart#createXYLineChart#?,String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean#1735	0.0	0.021173110675434034	0.021173110675434034	!(tooltips)	_
org.jfree.data.time.Day#int#compareTo#?,Object#427	0.0	0.021173110675434006	0.021173110675434006	(result)!= 0	_
org.jfree.data.time.SpreadsheetDate#int#compare#?,SerialDate#308	0.0	0.021173110675434006	0.021173110675434006	(this.serial - other.toSerial())!= 0	_
org.jfree.data.xy.XYSeriesCollection#int#getSeriesCount#?#213	0.0	0.020868237775076685	0.020868237775076685	(this.data.size())> 0	_
org.jfree.data.time.TimeSeries#void#updateBoundsForAddedItem#?,TimeSeriesDataItem#1215	0.0	0.019280423943499884	0.019280423943499884	this.minY != y	_
org.jfree.data.xy.XYSeries#double#minIgnoreNaN#?,double,double#699	0.0	0.018367978707969766	0.018367978707969766	!(Double.isNaN(a))	_
org.jfree.data.xy.XYSeries#double#maxIgnoreNaN#?,double,double#722	0.0	0.018367978707969766	0.018367978707969766	!(Double.isNaN(a))	_
org.jfree.data.time.TimeSeries#void#add#?,TimeSeriesDataItem,boolean#597	0.0	0.012260453851486372	0.012260453851486372	!(count == 0)	_
org.jfree.chart.axis.TickUnit#int#compareTo#?,Object#146	0.0	0.012065379869583134	0.012065379869583134	!(this.size > other.getSize())	_
org.jfree.data.time.TimeSeries#void#removeAgedItems#?,boolean#876	0.0	0.01157774934589128	0.01157774934589128	getItemCount() > 1	_
org.jfree.data.time.TimeSeries#double#minIgnoreNaN#?,double,double#1266	0.0	0.010944203142045677	0.010944203142045677	!(Double.isNaN(a))	_
org.jfree.data.time.TimeSeries#double#maxIgnoreNaN#?,double,double#1289	0.0	0.010944203142045677	0.010944203142045677	!(Double.isNaN(a))	_
org.jfree.data.xy.XYSeries#void#add#?,XYDataItem,boolean#508	0.0	0.01041982461664315	0.01041982461664315	this.autoSort	_
org.jfree.data.time.SpreadsheetDate#?#SpreadsheetDate#?,int,int,int#129	0.0	0.010165694033600963	0.010165694033600963	this.day > month	_
org.jfree.chart.axis.DateTickUnit#?#DateTickUnit#?,DateTickUnitType,int,DateTickUnitType,int,DateFormat#152	0.0	0.008410684826361144	0.008410684826361144	this.rollCount < multiple	_
org.jfree.chart.axis.DateTickUnit#long#getMillisecondCount#?,DateTickUnitType,int#309	0.0	0.008410684826361144	0.008410684826361144	!(unit.equals(DateTickUnitType.DAY))	_
org.jfree.chart.plot.XYPlot#int#getRangeAxisIndex#?,ValueAxis#4415	0.0	0.008401317290710399	0.008401317290710399	(result)!= 0	_
org.jfree.chart.plot.XYPlot#void#configureRangeAxes#?#1271	0.0	0.007732175036048028	0.007732175036048028	axis != null	_
org.jfree.data.xy.XYDataItem#int#compareTo#?,Object#242	0.0	0.007486006493019234	0.007486006493019234	(result)< 0	_
org.jfree.data.time.TimeSeries#int#getItemCount#?#253	0.0	0.007063990257742379	0.007063990257742379	(this.data.size())<= 0	_
org.jfree.data.xy.IntervalXYDelegate#void#datasetChanged#?,DatasetChangeEvent#389	0.0	0.005031634595655918	0.005031634595655918	!(this.autoWidth)	_
org.jfree.chart.plot.Plot#void#setBackgroundPaint#?,Paint#574	0.0	0.004054661445472968	0.004054661445472968	this.backgroundPaint.equals(paint)	_
org.jfree.chart.JFreeChart#void#setBackgroundPaint#?,Paint#973	0.0	0.004054661445472968	0.004054661445472968	!(!this.backgroundPaint.equals(paint))	_
org.jfree.chart.plot.XYPlot#XYItemRenderer#getRenderer#?,int#1590	0.0	0.0036915885152621563	0.0036915885152621563	this.renderers.size() > index	_
org.jfree.data.xy.XYSeriesCollection#XYSeries#getSeries#?,int#253	0.0	0.0036171261571366206	0.0036171261571366206	!((series < 0) || (series >= getSeriesCount()))	_
org.jfree.chart.StandardChartTheme#void#applyToXYItemRenderer#?,XYItemRenderer#1662	0.0	0.0035941523970262706	0.0035941523970262706	!(renderer instanceof XYBarRenderer)	_
org.jfree.chart.plot.XYPlot#int#getDomainAxisIndex#?,ValueAxis#4385	0.0	0.00273309101282247	0.00273309101282247	!(result < 0)	_
org.jfree.data.time.Day#long#getFirstMillisecond#?,Calendar#328	0.0	0.0026273567284774324	0.0026273567284774324	(calendar.getTime().getTime())>= 0	_
org.jfree.data.time.SerialDate#boolean#isLeapYear#?,int#499	0.0	0.0021150541023113477	0.0021150541023113477	(yyyy % 4) != 0	_
org.jfree.chart.plot.XYPlot#void#setOrientation#?,PlotOrientation#744	0.0	0.0018859750221159226	0.0018859750221159226	!(orientation != this.orientation)	_
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#Range#findRangeBounds#?,XYDataset,boolean#899	0.0	0.0018833111138262647	0.0018833111138262647	!(xRange == null)	_
org.jfree.chart.plot.XYPlot#ValueAxis#getRangeAxis#?,int#1169	0.0	0.001804305997089568	0.001804305997089568	!(result == null)	_
org.jfree.data.time.Day#long#getLastMillisecond#?,Calendar#350	0.0	0.001787747691830418	0.001787747691830418	(calendar.getTime().getTime())> 0	_
org.jfree.chart.title.TextTitle#void#setPaint#?,Paint#355	0.0	0.0017301645241991697	0.0017301645241991697	!(!this.paint.equals(paint))	_
org.jfree.chart.axis.ValueAxis#void#setRange#?,Range,boolean,boolean#1261	0.0	0.0013320643442715138	0.0013320643442715138	!(turnOffAutoRange)	_
org.jfree.chart.plot.XYPlot#ValueAxis#getDomainAxis#?,int#805	0.0	0.0011464869653886151	0.0011464869653886151	!(result == null)	_
org.jfree.data.Range#?#Range#?,double,double#93	0.0	0.0011458123715751476	0.0011458123715751476	this.upper > lower	_
org.jfree.data.time.SerialDate#int#lastDayOfMonth#?,int,int#545	0.0	8.933576042180948E-4	8.933576042180948E-4	month != FEBRUARY	_
org.jfree.chart.util.AbstractObjectList#Object#get#?,int#110	0.0	8.883443005299891E-4	8.883443005299891E-4	index >= 0 && index < this.size	_
org.jfree.data.xy.XYSeries#int#getItemCount#?#344	0.0	7.363430969603527E-4	7.363430969603527E-4	(this.data.size())> 0	_
org.jfree.chart.block.FlowArrangement#?#FlowArrangement#?,HorizontalAlignment,VerticalAlignment,double,double#95	0.0	6.710374846182162E-4	6.710374846182162E-4	this.horizontalGap >= vGap	_
org.jfree.chart.util.RectangleInsets#?#RectangleInsets#?,UnitType,double,double,double,double#124	0.0	6.345852015163733E-4	6.345852015163733E-4	this.right == top	_
org.jfree.data.time.SerialDate#int#leapYearCount#?,int#529	0.0	5.522940396198125E-4	5.522940396198125E-4	(leap4 - leap100 + leap400)> 0	_
org.jfree.chart.StandardChartTheme#void#applyToValueAxis#?,ValueAxis#1546	0.0	0.0	0.0	!(axis instanceof SymbolAxis)	_
org.jfree.chart.block.AbstractBlock#void#setFrame#?,BlockFrame#251	0.0	0.0	0.0	!(frame == null)	_
org.jfree.chart.ui.Licences#Licences#getInstance#?#799	0.0	0.0	0.0	singleton == null	_
org.jfree.chart.title.LegendTitle#void#setItemFont#?,Font#348	0.0	0.0	0.0	!(font == null)	_
org.jfree.chart.axis.NumberAxis#void#setAutoRangeIncludesZero#?,boolean#262	0.0	0.0	0.0	isAutoRange()	_
org.jfree.chart.plot.XYPlot#void#setRangeGridlinePaint#?,Paint#2058	0.0	0.0	0.0	!(paint == null)	_
org.jfree.chart.axis.NumberTickUnit#?#NumberTickUnit#?,double,NumberFormat#83	0.0	0.0	0.0	!(formatter == null)	_
org.jfree.chart.plot.XYPlot#void#datasetChanged#?,DatasetChangeEvent#4531	0.0	0.0	0.0	!(getParent() != null)	_
org.jfree.chart.plot.XYPlot#void#mapDatasetToRangeAxes#?,int,List#1515	0.0	0.0	0.0	!(index < 0)	_
org.jfree.data.time.Day#?#Day#?,SerialDate#134	0.0	0.0	0.0	!(serialDate == null)	_
org.jfree.data.time.Day#long#getSerialIndex#?#306	0.0	0.0	0.0	(this.serialDate.toSerial())>= 0	_
org.jfree.data.time.TimeSeriesDataItem#?#TimeSeriesDataItem#?,RegularTimePeriod,Number#106	0.0	0.0	0.0	!(period == null)	_
org.jfree.chart.labels.ItemLabelPosition#?#ItemLabelPosition#?,ItemLabelAnchor,TextAnchor,TextAnchor,double#126	0.0	0.0	0.0	this.angle <= angle	_
org.jfree.chart.title.Title#void#setPosition#?,RectangleEdge#254	0.0	0.0	0.0	!(position == null)	_
org.jfree.data.time.SpreadsheetDate#int#getYYYY#?#231	0.0	0.0	0.0	(this.year)> 0	_
org.jfree.chart.axis.DateAxis#TickUnitSource#createStandardDateTickUnits#?,TimeZone,Locale#1150	0.0	0.0	0.0	!(zone == null)	_
org.jfree.chart.StandardChartTheme#void#applyToXYPlot#?,XYPlot#1431	0.0	0.0	0.0	!(plot instanceof CombinedRangeXYPlot)	_
org.jfree.chart.JFreeChart#void#notifyListeners#?,ChartChangeEvent#1514	0.0	0.0	0.0	this.notify	_
