line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processRegExpLiteral#?,RegExpLiteral#834	0.0	0.004348771472059143	0.004348771472059143	!(flags != null && !flags.isEmpty())	_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#277	0.0	0.0036363636363636385	0.0036363636363636385	!(childCount == 2)	_
com.google.javascript.jscomp.Compiler#void#initOptions#?,CompilerOptions#242	0.0	0.0019670617001027618	0.0019670617001027618	!(options.enables(DiagnosticGroups.CHECK_TYPES))	_
com.google.javascript.jscomp.DiagnosticGroupWarningsGuard#boolean#enables#?,DiagnosticGroup#50	0.0	0.001752734391747125	0.001752734391747125	!(level.isOn())	_
com.google.javascript.jscomp.DiagnosticType#int#hashCode#?#121	0.0	4.7708871092284953E-4	4.7708871092284953E-4	(key.hashCode())<= 0	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#69	0.0	3.937574884799159E-4	3.937574884799159E-4	(orderOfAddition.get(b).intValue() - orderOfAddition.get(a).intValue())!= 0	_
com.google.javascript.jscomp.ComposeWarningsGuard#boolean#enables#?,DiagnosticGroup#142	0.0	3.921335059681809E-4	3.921335059681809E-4	!(guard.enables(group))	_
com.google.javascript.rhino.Node#int#getCharno#?#1124	0.0	3.55763946303845E-4	3.55763946303845E-4	(extractCharno(sourcePosition))== 0	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1199	0.0	3.1882563710126726E-4	3.1882563710126726E-4	(lineCharNo & COLUMN_MASK)== 0	_
com.google.javascript.jscomp.PrepareAst$PrepareAnnotations#void#annotateCalls#?,Node#170	0.0	2.8325851199166845E-4	2.8325851199166845E-4	!NodeUtil.isGet(first)	_
com.google.javascript.jscomp.CodeGenerator#String#strEscape#?,String,char,String,String,String,CharsetEncoder,boolean#1013	0.0	1.71242259849855E-4	1.71242259849855E-4	i < s.length()	_
com.google.javascript.rhino.Node#int#getChildCount#?#1384	0.0	1.593182757812521E-4	1.593182757812521E-4	(c)<= 0	_
com.google.javascript.jscomp.CodeGenerator#void#addList#?,Node,boolean,Context#893	0.0	1.426658515775183E-4	1.426658515775183E-4	n != null	_
com.google.javascript.jscomp.parsing.IRFactory#Node#transformTree#?,AstRoot,StaticSourceFile,String,Config,ErrorReporter#174	0.0	1.2944311648134847E-4	1.2944311648134847E-4	!(node.getComments() != null)	_
