line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang3.time.FastDateFormat#List<Rule>#parsePattern#?#555	0.0	1.0	1.0	tokenLen >= 4	GT
org.apache.commons.lang3.time.FastDateFormat#String#getTimeZoneDisplay#?,TimeZone,boolean,int,Locale#411	0.0	1.0	1.0	!(value == null)	_
org.apache.commons.lang3.time.FastDateFormat$PaddedNumberField#?#PaddedNumberField#?,int,int#1131	0.0	0.8999999999999999	0.8999999999999999	mSize <= field	_
org.apache.commons.lang3.time.FastDateFormat$TimeZoneNumberRule#void#appendTo#?,StringBuffer,Calendar#1456	0.0	0.75	0.75	!(mColon)	_
org.apache.commons.lang3.time.FastDateFormat$PaddedNumberField#void#appendTo#?,StringBuffer,int#1152	0.0	0.4444444444444444	0.4444444444444444	value < 100	_
org.apache.commons.lang3.time.FastDateFormat$TextField#int#estimateLength#?#1013	0.0	0.1777777777777778	0.1777777777777778	max > i	_
org.apache.commons.lang3.time.FastDateFormat$UnpaddedNumberField#void#appendTo#?,StringBuffer,int#1060	0.0	0.16666666666666663	0.16666666666666663	!(value < 10)	_
org.apache.commons.lang3.time.FastDateFormat#String#parseToken#?,String,int[]#623	0.0	0.13526570048309178	0.13526570048309178	c == '\''	_
org.apache.commons.lang3.time.FormatCache$MultipartKey#int#hashCode#?#198	0.0	0.03764705882352941	0.03764705882352941	(hashCode)<= 0	_
org.apache.commons.lang3.time.FormatCache#F#getInstance#?,String,TimeZone,Locale#76	0.0	0.0311111111111111	0.0311111111111111	locale == null	_
org.apache.commons.lang3.time.FastDateFormat#void#init#?#449	0.0	0.007575757575757582	0.007575757575757582	len < i	_
org.apache.commons.lang3.time.FastDateFormat$UnpaddedMonthField#int#estimateLength#?#1089	0.0	0.0	0.0	(2)>= 0	_
org.apache.commons.lang3.time.FastDateFormat$TextField#?#TextField#?,int,String[]#1001	0.0	0.0	0.0	mField == field	_
org.apache.commons.lang3.time.FastDateFormat$TimeZoneNameRule#int#estimateLength#?#1398	0.0	0.0	0.0	(Math.max(mStandard.length(),mDaylight.length()))>= 0	_
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField#?#TwoDigitNumberField#?,int#1186	0.0	0.0	0.0	mField == field	_
org.apache.commons.lang3.time.FastDateFormat$TwoDigitMonthField#int#estimateLength#?#1269	0.0	0.0	0.0	(2)> 0	_
org.apache.commons.lang3.time.FastDateFormat$CharacterLiteral#?#CharacterLiteral#?,char#937	0.0	0.0	0.0	mValue <= value	_
org.apache.commons.lang3.time.FastDateFormat$PaddedNumberField#int#estimateLength#?#1138	0.0	0.0	0.0	(4)>= 0	_
org.apache.commons.lang3.time.FastDateFormat$UnpaddedNumberField#int#estimateLength#?#1046	0.0	0.0	0.0	(4)!= 0	_
org.apache.commons.lang3.time.FastDateFormat$TimeZoneDisplayKey#boolean#equals#?,Object#1509	0.0	0.0	0.0	obj instanceof TimeZoneDisplayKey	_
org.apache.commons.lang3.Validate#void#isTrue#?,boolean,String,long#106	0.0	0.0	0.0	!(expression == false)	_
org.apache.commons.lang3.time.FastDateFormat$UnpaddedNumberField#?#UnpaddedNumberField#?,int#1039	0.0	0.0	0.0	mField == field	_
org.apache.commons.lang3.time.FastDateFormat$UnpaddedMonthField#void#appendTo#?,StringBuffer,int#1103	0.0	0.0	0.0	value < 10	_
org.apache.commons.lang3.time.FastDateFormat$CharacterLiteral#int#estimateLength#?#944	0.0	0.0	0.0	(1)>= 0	_
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField#int#estimateLength#?#1193	0.0	0.0	0.0	(2)>= 0	_
org.apache.commons.lang3.time.FastDateFormat$TimeZoneNameRule#void#appendTo#?,StringBuffer,Calendar#1405	0.0	0.0	0.0	!(mTimeZone.useDaylightTime() && calendar.get(Calendar.DST_OFFSET) != 0)	_
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField#void#appendTo#?,StringBuffer,int#1207	0.0	0.0	0.0	value < 100	_
org.apache.commons.lang3.time.FastDateFormat$TimeZoneNumberRule#int#estimateLength#?#1436	0.0	0.0	0.0	(5)!= 0	_
org.apache.commons.lang3.time.FastDateFormat$TimeZoneDisplayKey#?#TimeZoneDisplayKey#?,TimeZone,boolean,int,Locale#1489	0.0	0.0	0.0	mStyle >= style	_
org.apache.commons.lang3.time.FastDateFormat$TimeZoneDisplayKey#int#hashCode#?#1498	0.0	0.0	0.0	((mStyle * 31 + mLocale.hashCode()) * 31 + mTimeZone.hashCode())<= 0	_
org.apache.commons.lang3.time.FastDateFormat$TwoDigitYearField#int#estimateLength#?#1233	0.0	0.0	0.0	(2)>= 0	_
